Question,Response,GT
من هو الله ؟,"الله هو الخالق الوحيد لجميع الأشياء، والمالك لكل شيء، والمدبر لكل شئ. لا يوجد خالق غيره، ولم يخلق نفسه أحد. له الملك والتصرف، ولا راد لقضائه، ولا معقب لحكمه. الله هو الذي أعطى كل شيء خلقه ثم هداه، وقدر القدر وجبل الخليقة على ما وهى عليه. هو الله جل وعلا، الواحد الأحد، الفرد الصمد، الذي لم يلد ولم يولد، ولم يكن له كفواً أحد.
","الله وحده لا شريك له ، لا شبه له ولا مثل، لم يلد ولم يولد ولم يكن له كفوا أحد، خالق كل شئ، وإليه مرجع كل شئ ، الحى الذى لا يموت، والذى عليه جماعة أهل السنة أنه لم يزل بصفاته وأسمائ، ليس لأوليته ابتداء، ولا لآخريته انقضاء، وهو على العرش استوى"
ما الفطره التى يولد الإنسان عليها ؟,"الفطرة التي يولد الإنسان عليها هي فطرة التوحيد وعبادة الله وحده، حيث خُلق الإنسان حنيفاً مسلماً لله، غير منحرف عن الحق. وهذا ما أشار إليه الحديث النبوي الشريف: ""ما من مولود إلا يولد على الفطرة، فأبواه يهودانه أو ينصرانه أو يمجسانه"".  

وهذا يعني أن الطفل عندما يولد، يكون طبيعته البشرية مائلة لعبادة الله وحده دون شريك، ولكن تأثير البيئة والأبوين قد يؤدي إلى انحرافه عن هذه الفطرة الأصلية. كما قال الله تعالى في القرآن الكريم (مع تصحيح الآية المذكورة): **""فِطْرَتَ اللَّهِ الَّتِي فَطَرَ النَّاسَ عَلَيْهَا ۚ لَا تَبْدِيلَ لِخَلْقِ اللَّهِ""** (سورة الروم: آية 30).  

وبالتالي، الفطرة هي دعوة داخلية فطرية في النفس الإنسانية نحو الإيمان بالله الواحد الأحد، قبل أن تتأثر بالنظم والمعتقدات المختلفة التي تفرضها المجتمعات.
","قال -صلى الله عليه وسلم- ما من مولود إلا يولد على الفطره، فأبواه يهودانه وينصرانه ويمجسانه، كما تنتج البهيمة بهيمة جمعاء، هل تحسون فيها من جدعاء"
كيف أدعي قوم إلى الإسلام ؟,"تُدعي قوم إلى الإسلام بالبدء بالإقرار بالشهادتين، لأنهما أول ما يدعى الناس إليه من الدين. الإيمان بالشهادتين يعني التصريح بأن ""لا إله إلا الله محمد رسول الله""، وهما الأساس لدخول الإسلام. كما أن الإقرار بهما هو الشرط الأول للنجاة من الخلود في النار في الآخرة.

بالإضافة إلى ذلك، بعد الإقرار بالشهادتين، يجب على المدعو القيام بحقوق هذا الإقرار، مثل أداء الصلاة وإيتاء الزكاة. بهذه الطريقة تثبت الأخوة في الدين وتصبح الدماء والأموال مصونة.

وبذلك، فإن الدعوة تكون قائمة على تعليم أهمية الشهادتين أولاً، ثم شرح الالتزامات التي تلي الإيمان بهما مثل الصلاة والزكاة.
","ورتب رسول الله ﷺ لمعاذ بن جبل الدعوة إلى شرائع الإسلام على الإقرار بالتوحيد، فقال له عندما أرسله إلى اليمن: ""إنك تأتي قوما من أهل الكتاب فليكن أول ما تدعوهم إليه شهادة أن لا إله إلا الله وأن محمدا رسول الله، فإن هم أطاعوك لذلك فأعلمهم أن الله افترض عليهم خمس صلوات في اليوم والليلة"" (أخرجه مسلم).

"
دليل عقلى على وجود الله ,"دليل عقلي على وجود الله يمكن استخلاصه من نصك المقدم، وهو دليل الخلق. حيث يشير النص إلى السؤال العقلاني: ""هل وجدوا من غير موجد؟ أم هم أوجدوا أنفسهم؟"". والإجابة هي أنه لا يمكن لشيء أن يوجد ذاته، ولا يمكن أن يكون هناك شيء بلا مسبب.

**الإجابة بالتفصيل:**
- كل ما نراه في الكون من كائنات ومخلوقات يحتاج إلى سبب خلقه.
- لا يمكن أن يكون الشيء هو سبب نفسه، لأن ذلك يتنافى مع المنطق والعقل.
- إذاً، يجب أن يكون هناك موجد ومسبب لهذا الكون وكل ما فيه.
- وهذا الموجد هو الله جل وعلا، الذي خلق كل شيء وأبدعه، كما قال تعالى: **""قال ربنا الذي أعطى كل شيء خلقه ثم هدى""** (سورة طه).

بهذا الدليل العقلي نستنتج وجود الله سبحانه وتعالى كخالق ومدبر لهذا الكون.
","إن الأدلة على وجود الله بعدد مخلوقات الله؛ فكل ما خلق الله في السماوات والأرض يحمل بذاته أبلغ الأدلة على وجود الله عز وجل وعلى تفرده بالخلق والملك والتدبير، بدءا من أصغر ذرة في الأرض إلى أكبر مجرة في السماء!

"
مصادر التلقى فى الإسلام ؟,"مصادر التلقي في الإسلام هي المراجع أو الأسس التي يعتمد عليها المسلم لفهم الدين وتطبيقه. بناءً على السياق العام المقدم، يمكن تلخيص مصادر التلقي في الإسلام كما يلي:

1. **القرآن الكريم**: وهو المصدر الأساسي والأول في التشريع الإسلامي، كلام الله المنزل على نبيه محمد ﷺ.

2. **السنة النبوية**: وهي الحديث والعمل والتقرير الخاص بالنبي محمد ﷺ، والتي تفسر وتوضح القرآن الكريم.

3. **إجماع الأمة (الإجماع)**: وهو اتفاق علماء المسلمين المعتبرين على أمر ديني في زمن معين.

4. **القياس**: وهو استنباط أحكام لقضايا جديدة بناءً على تشابهها مع قضايا أصلية وردت فيها أحكام في الكتاب والسنة.

هذه المصادر الأربعة تُعد منهجاً علمياً وشاملاً لاستنباط الأحكام الشرعية في الإسلام. وقد جاء ذكرها في العديد من المؤلفات العلمية التي تتحدث عن علم أصول الفقه مثل تلك التي أعدها العلماء مثل أ.د عبد الله المصلم وآ.د صلاح الصاوي.

**ملاحظة**: بعض الحروف والمفردات في النص المقدم تحتوي على أخطاء كتابية، وقد تم تجاهلها لعدم تأثيرها على الإجابة الصحيحة.
","ونؤمن بأن الحجة القاطعة والحكم الأعلى هو: الكتاب والسنة لا غير، وأن ما تنازع فيه المسلمون من شيء فرده إلى الله ورسوله، فإذا قضي الله ورسوله أمرا فلا يبر لأحد في هذا القضاء من خير، "
هل يوجد معصومين ؟,"بناءً على النص المقدم، وعلى الرغم من وجود أخطاء في كتابة الآيات القرآنية، فإن المعنى الأساسي المستفاد هو تحريم قتل الصيد أثناء الإحرام وبيان الجزاء على من يقتل صيدًا متعمدًا.  

ولكن إذا تأملنا السؤال: ""هل يوجد معصومين تبعا للنص؟""، الجواب سيكون كالتالي:

لا يوجد في هذا النص ما يشير إلى وجود معصومين أو غير معصومين. النص يتحدث عن حكم شرعي متعلق بقتل الصيد أثناء الإحرام وما يتصل بذلك من عقوبات وأحكام. ولم يتم ذكر أي شيء يتعلق بمفهوم العصمة في النص.

ومع ذلك، إذا انتقلنا إلى سياق عام خارج هذا النص المحدد، فإن مفهوم العصمة في الإسلام يرتبط بالأئمة عند بعض المذاهب (كالمذهب الشيعي)، بينما يرى Sunni أن النبي محمد ﷺ هو المعصوم الوحيد في الأمور الدينية، أما بعد وفاته فلا عصمة لأحد، وكل الناس عرضة للخطأ باستثناء ما ورد بالنصوص الشرعية القطعية.

إذن بناءً على هذا النص فقط: **لا يوجد دليل على وجود معصومين.**","وأنه لا تثبت العصمة لأحد بعد النبي صلى الله عليه وسلم إلا لمجموع الأمة، فهي التي لا تجتمع على ضلالة، وفي هذا دليل على أن الأصل في الدين هو الإجماع، مستند شرعي قد انعقد عليه."
"حجية السنة 
","نعم، السنة المطهرة حجة. وهي أكبر وأجل من أن ينازع فيها منازع أو يرتاب فيها رايب، حيث إنها مطابقة لما عند الله إجماعاً، ومن ثم فيجب التمسك بها. وقد كان النبي ﷺ يحث أمته على التمسك بسنته ويحذرهم من مخالفتها، وكان الصحابة رضوان الله عليهم يمتثلون أمره ويتبعونه في جميع أقواله وأفعاله وتقريراته. ولو كانوا في عملهم هذا مخطئين لما أقرهم الله.  

وهذا ما دلت عليه الآيات الصحيحة والسيرة النبوية والعقل والمنطق، فالمتابعة للنبي ﷺ هي أساس الهداية وسبيل نيل رضا الله.
","ونؤمن بحجية السنة المطهرة، وأن الإيمان بها ضرورة دينية لا يثبت عقد الإسلام إلا باستيفائها."
"هل طاعه الرسول واجبة ؟
","نعم، طاعة الرسول واجبة. ذلك لأنها من الفرائض المفترضة علىMuslimين، كما أشار ابن عبد البر إلى ضرورة العلم بما لا يسع الإنسان جهله من الفرائض المفروضة عليه، ومنها الإقرار بالقلب والشهادة باللسان. وطاعة الرسول ﷺ هي جزء أساسي من هذه الشهادة والإيمان، حيث قال الله تعالى في القرآن: **""وَمَا آتَاكُمُ الرَّسُولُ فَخُذُوهُ وَمَا نَهَاكُمْ عَنْهُ فَانتَهُوا""** (الحشر: 7).  

إذًا، طاعته ﷺ ليست خيارًا بل واجب شرعي ملزم لكل مسلم ومسلمة.
","وقد أخبر ﷺ وهو المعصوم من الكذب أنه قد أوحي إليه القرآن ومثله معه، وأن ما بينه وشرعه من الأحكام فإنما هو من عند الله تعالى، وليس من عند نفسه ﷺ، وأن طاعته طاعة لله، ومعصيته معصية لله."
رد على من يطعن فى حجيه السنة ,"من يطعن في حجية السنة المطهرة يكون مخالفاً لإجماع الأمة الإسلامية، فالسنة النبوية هي المصدر الثاني من مصادر التشريع الإسلامي بعد القرآن الكريم، وهي تفسر وتوضّح أحكام الكتاب العزيز. وقد أكد النبي محمد صلى الله عليه وسلم على أهمية التمسك بسنته والحذر من مخالفتها، كما كان الصحابة رضوان الله عليهم يتبعونه في جميع أقواله وأفعاله وتقريراته، ولو كانوا مخطئين في ذلك لما أقرهم الله.

وقد وردت نصوص قطعية الدلالة على وجوب اتباع سنة النبي صلى الله عليه وسلم، مثل قوله تعالى (بما صاغ正确的): **""وَمَا آتَاكُمُ الرَّسُولُ فَخُذُوهُ وَمَا نَهَاكُمْ عَنْهُ فَانتَهُوا""** [الحشر: 7]. وكذلك قوله تعالى: **""قُلْ إِن كُنتُمْ تُحِبُّونَ اللَّهَ فَاتَّبِعُونِي يُحْبِبْكُمُ اللَّهُ وَيَغْفِرْ لَكُمْ ذُنُوبَكُمْ""** [آل عمران: 31].

إن الطاعنين في حجية السنة لا يمتثلون لهذه النصوص الواضحة، وبالتالي فإن موقفهم غير مقبول شرعاً. السنة المطهرة ليست مجرد توصيات، بل هي أوامر يجب الالتزام بها لأنها مصدر من مصادر الهداية الإلهية التي أنزلت للبشرية.
","لقد خطب المقداد بن معد يكرب أن رسول الله ﷺ قال: ""ألا إني أوتيت الكتاب ومثله معه، ألا يوشك رجل شبعان على أريكته يقول عليكم بهذا القرآن، فما وجدتم فيه من حلال فأحلوه، وما وجدتم فيه من حرام فحرموه، وإن ما حرم رسول الله كما حرم الله"" (أخرجه أبو داود والترمذي والحاكم)."
هل فى السنة أحكام لم ترد فى القرأن ؟,"نعم، في السنة أحكام لم ترد في القرآن الكريم. السنة النبوية الشريفة هي المصدر الثاني للتشريع الإسلامي بعد القرآن الكريم، وقد جاءت لتفسر وتوضّح ما ورد في القرآن الكريم، كما أنها حملت أحكاماً وأوامر ونواهي لم ترد صراحة في القرآن. على سبيل المثال: - **الصلاة**: ورد في القرآن الأمر بصلاة معيّنة مثل الصلاة على وقتها (وَأَقِيمُوا الصَّلَاةَ)، لكن عدد الركعات وأوقات الصلوات الخمس وتفاصيل كيفية أدائها لم ترد بالتفصيل في القرآن، بل جاءت من خلال سنة النبي ﷺ. - **زكاة الفطر**: لم يذكر القرآن الكريم زكاة الفطر، لكنها فرضت من خلال سنة النبي ﷺ. - **كيفية الحج**: القرآن ذكر الحج وأهميته، لكن تفاصيل المناسك وكيفيتها جاءت من خلال سنة النبي ﷺ. ولذلك كان النبي ﷺ يحث أمته على التمسك بسنته ويحذر من مخالفتها، كما هو واضح في السياق المذكور: ""ويحث أمته على التمسك بسنته؛ ويحذرهم من مخالفتها وكان الصحابة يمتثلون أمره في ذلك"". وهذا دليل على أهمية السنة كمصدر تشريعي مستقل إلى جانب القرآن الكريم. وبالتالي، السنة تحتوي على أحكام لم ترد في القرآن الكريم، وهي ضرورية لإتمام الدين وإكمال التشريع.","ومن الأدلة على حجية السنة تعذر العمل بالقرآن وحده، فإن في القرآن كثيرا من الجملات التي يتوقف العمل بها على الرجوع إلى السنة.

فقد قال تعالى مثلا : ﴿وَأَقِيمُوا الصَّلَاةَ وَآتُوا الزَّكَاةَ﴾ [البقرة :٤٣]

وهذا يفهم منه وجوب الصلاة والزكاة، ولكن أين نجد في القرآن كيفية الصلاة، ومواقيتها، وأعدادها وعلى من تجب؟، وأين نجد في القرآن ماهية الزكاة والأموال التي تجب عليها، والأنصبة، والمقادير، والشروط الوجوب ونحوه؟، وإنه لا سبيل إلى معرفة ذلك كله إلا من السنة.

"
اذكر مثالا للامامين مالك والشافعى فى ورعهم حول كلام الرسول ؟,"من مظاهر ورع الإمام مالك والإمام الشافعي في نقل كلام الرسول صلى الله عليه وسلم ما يلي:

- الإمام مالك رضي الله عنه كان إذا سئل عن مسألة، فقالوا له: يا أبا عبد الله هل تعرف حديثاً في هذا؟ فيقول: ""لا أحل أن أحدثكم بحديث رسول الله صلى الله عليه وسلم وأنا آخذت من غير طريق الثقة به""

- أما الإمام الشافعي رضي الله عنه فقد قال: ""لو أن جميع أهل الأرض صدقوني فيما أخبرتهم به عن النبي صلى الله عليه وسلم لم أجز أن أحكي لهم حديثاً واحداً إلا وأنتمي فيه إلى رجل ثقة""

وهذا يدل على عظيم احترامهما وورعهما في نقل الأحاديث النبوية، فلا يرويان شيئاً عن النبي صلى الله عليه وسلم إلا من طريق صحيح موثوق.","وقال مالك رحمه الله: كلٌّ أحدٍ يؤخذ من قوله ويترك إلا رسول الله ﷺ. وقال أيضا: ما شئتَ أن تسألَ عليّ من أسألُ عن شرائعِ الحلال والحرام، ابن لهيعة؟ هذا والله لا يكون! الله، لقد أدركتُ أهلَ العلم والفقه ببلدنا، وإنهم إذا جاءهم الشيء عن رسول الله ﷺ نظروا في الوقت أشرف عليه؟ ومن أخذه؟ فإذا ثبت عنه هذا يحبّذون الكلام به والفتيا، ولو قُوِّلوا على ما يسرّون إليه غدا، لقالوا: نحن من هذا.وعن الربيع بن سليمان: سمعت الشافعي وقد سأله رجل في مسألة، فقال: يروى عن النبي ﷺ أنه قال كذا وكذا، فقال له الشافعي: أ تقول بهذا؟ قال: أقول به على الرس والخشَّاش! فقال له الشافعي: أتدري ما الرس والخشاش؟! أ تخرج فتقعد على الأرض، فتلقي نفسك فيه حتى يجيء من يخرجك! نعم على الرأس والعينين إذا رُوي عن رسول الله ﷺ، ولم يُقل: نعم على الرأس والعينين!!"
"هل طاعه الزوج واجبة ؟
","نعم، طاعة الزوج واجبة في الإسلام ولكن بشروط وأحكام معينة. الطاعة تكون **في المعروف** فقط، أي أن الزوجة مطالبة بطاعة زوجها فيما لا يخالف شرع الله عز وجل. أما إذا أمرها بمعصية أو شيئٍ يُخرجها عن طاعة الله ورسوله، فلا طاعة له في ذلك. ### الدليل: 1. **حديث النبى صلى الله عليه وسلم:** - كما جاء في السياق الذي ذكرتَه: ""باب لا تطع المرأة زوجها في معصية""، وهذا الحديث يوضح أن طاعة الزوج ليست مطلقة بل مقيدة بألا تكون في معصية لله. 2. **آيات من القرآن الكريم:** - قوله تعالى: **""واللاتي تخافون نشوزهن فعظوهن واهجروهن في المضاجع واضربوهن فإن أطعنكم فلا تبغوا عليهن سبيلاً"" [النساء: 34].** - هذه الآية تؤكد على أهمية الطاعة الزوجية لكنها مشروطة بأن يكون الأمر في حدود المعروف. 3. **الأحاديث العامة:** - عن أبي هريرة رضي الله عنه قال: قال رسول الله صلى الله عليه وسلم: **""ألا كلكم راع وكلكم مسؤول عن رعيته... والمرأة راعية على بيت زوجها ومسؤولة عنه.""** (متفق عليه) - هذا الحديث يجعل الزوجة مسؤولة عن إدارة بيت زوجها ضمن حدود الطاعة الشرعية. ### خلاصة الإجابة: - **الطاعة واجبة:** ولكن في حدود المعروف، وإذا كان الأمر يؤدي إلى معصية الله، فلا طاعة للمخلوق في معصية الخالق. - **إذا نشزت الزوجة:** يبدأ التعامل بالوعظ ثم الهجران في المضاجع ثم الضرب غير المبرح إن لزم الأمر، وذلك بهدف الإصلاح وليس العقاب الشديد. وبذلك يكون هناك توازن بين حقوق الزوجين ويكون الهدف الأسمى هو بناء أسرة قائمة على المحبة والرحمة والإحسان كما أمرنا الله سبحانه وتعالى.","الإسلام، وأن الطاعة المطلقة لا تكون لأحد بعد الله ورسوله، وأما طاعة من سواهما من حاكم أو عالم أو وليٍّ أو زوج أو والد أو مستخدم ونحو، فيشترط ألا تكون في معصية الله، فما من أحدٍ إلا ويؤخذ من قوله"
الدليل على الاستعانه بأراء السلف الصالح ؟,"نعم، الاستعانة بآراء الصحابة الصالح في الإسلام أمر مشروع ومهم، وذلك لأن الصحابة رضوان الله عليهم هم أول من تلقى النصوص الشرعية مباشرة من النبي صلى الله عليه وسلم، وفهموها ونقلوها للأجيال التالية. وقد أكدت الآيات والأحاديث على أهمية اتباع سبيل المؤمنين والجماعة التي كان عليها النبي صلى الله عليه وسلم وأصحابه. على سبيل المثال: - قوله تعالى: **""وَمَن يُشَاقِقِ الرَّسُولَ مِن بَعْدِ مَا تَبَيَّنَ لَهُ الْهُدَىٰ وَيَتَّبِعْ غَيْرَ سَبِيلِ الْمُؤْمِنِينَ فَلَن تَكُونَ لَهُ مِن نَّاصِرِينَ""** [النساء: 115]، يدل على وجوب اتباع سبيل المؤمنين الذين هم الصحابة أولاً. - كما أن النبي صلى الله عليه وسلم قال: **""عليكم بسنتي وسنة الخلفاء الراشدين المهديين من بعدي""**، وهذا يؤكد على أهمية اتباع سنة النبي وأصحابه. وبالتالي، آراء الصحابة واجتهاداتهم تعد مرجعاً مهماً في الفقه الإسلامي لما لهم من مكانة خاصة في فهم الدين وتطبيقه. ولا يجوز للمسلم أن يخالف سبيلهم أو يستغني عن فهمهم للنصوص الشرعية. **الخلاصة**: يجب على المسلم أن يستعين بآراء الصحابة الصالحين وأن يلتزم بما كانوا عليه من عقيدة وسلوك؛ لأن ذلك هو الضمان للابتعاد عن البدع والضلالات.","وقال ﷺ: ""عليكم بسنتي وسنة الخلفاء الراشدين المهديين من بعدي عضوا عليها بالنواجذ"""
